2026-04-21 09:04:19,728 | INFO | app.repositories.sheets_repository | Appended row 18: ST20047
2026-04-21 09:04:19,728 | INFO | app.repositories.sheets_repository | Appended row 19: ST20060
2026-04-21 09:04:19,729 | INFO | app.repositories.sheets_repository | Appended row 20: ST20048
2026-04-21 09:04:19,729 | INFO | app.repositories.sheets_repository | Appended row 21: ST40137AB
2026-04-21 09:04:19,729 | INFO | app.repositories.sheets_repository | Appended row 22: ST11013
2026-04-21 09:04:19,729 | INFO | app.repositories.sheets_repository | Appended row 23: ST3064
2026-04-21 09:04:19,730 | INFO | app.repositories.sheets_repository | Appended row 24: ST10817
2026-04-21 09:04:19,730 | INFO | app.repositories.sheets_repository | Appended row 25: ST20313
2026-04-21 09:04:19,730 | INFO | app.repositories.sheets_repository | Appended row 26: ST20812
2026-04-21 09:04:19,730 | INFO | app.repositories.sheets_repository | Appended row 27: ST21350C
2026-04-21 09:04:19,730 | INFO | app.repositories.sheets_repository | Appended row 28: ST138021
2026-04-21 09:04:19,730 | INFO | app.repositories.sheets_repository | Appended row 29: ST40660AB
2026-04-21 09:04:19,731 | INFO | app.repositories.sheets_repository | Appended row 30: ST20325C
2026-04-21 09:04:19,731 | INFO | app.repositories.sheets_repository | Appended row 31: ST20325
2026-04-21 09:04:19,731 | INFO | app.repositories.sheets_repository | Appended row 32: ST20706
2026-04-21 09:04:19,731 | INFO | app.repositories.sheets_repository | Appended row 33: ST10724
2026-04-21 09:04:19,732 | INFO | app.repositories.sheets_repository | Appended row 34: ST86812
2026-04-21 09:04:19,732 | INFO | app.repositories.sheets_repository | Appended row 35: ST30067
2026-04-21 09:04:19,732 | INFO | app.repositories.sheets_repository | Appended row 36: ST30416
2026-04-21 09:04:19,732 | INFO | app.repositories.sheets_repository | Appended row 37: ST20754
2026-04-21 09:04:19,733 | INFO | app.repositories.sheets_repository | Appended row 38: ST17050
2026-04-21 09:04:19,733 | INFO | app.repositories.sheets_repository | Appended row 39: ST20117
2026-04-21 09:04:19,733 | INFO | app.repositories.sheets_repository | Appended row 40: ST10018
2026-04-21 09:04:19,733 | INFO | app.repositories.sheets_repository | Appended row 41: ST28251
2026-04-21 09:04:19,733 | INFO | app.repositories.sheets_repository | Appended row 42: ST40706AB
2026-04-21 09:04:19,734 | INFO | app.services.agent_service | File 'TEST_IMAGE.jpeg': extracted=29, created=26, updated=0
2026-04-21 17:46:51,102 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 17:47:29,522 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 17:48:22,371 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 17:48:26,925 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getMe "HTTP/1.1 200 OK"
